muni,count,lon,lat
14123,1,-102.92497399,20.46086374
14124,1,-103.04883685,20.63604761
15001,3,-99.87153026,19.97294169
15002,1,-98.9198621,19.63377366
15003,1,-99.83334661,20.11567647
15005,6,-99.82940584,19.40541435
15007,2,-99.9883932,19.25093149
15011,4,-98.96213222,19.54543136
15013,6,-99.27404399,19.56480728
15014,2,-99.84581628,19.80985286
15015,1,-98.71706467,19.03110809
15016,1,-98.72129628,19.7630572
15018,1,-99.64325788,19.16553448
15020,4,-99.10239554,19.62629
15023,5,-99.22220534,19.78998449
15024,3,-99.15945203,19.70821393
15025,8,-98.83168617,19.25359717
15027,1,-99.55010889,19.20649249
15028,1,-98.88387265,19.57302919
15029,2,-98.87757302,19.40629463
15030,1,-98.89669568,19.55627849
15031,20,-98.94720806,19.41627371
15033,46,-99.04321177,19.57278367
15034,1,-98.7366496,18.96802196
15035,9,-99.25502817,19.82263264
15036,2,-99.02800775,19.95241235
15037,6,-99.3395276,19.38310083
15039,16,-98.77905526,19.34280188
15040,1,-99.6908411,18.85069655
15042,2,-99.80703039,19.58959594
15043,2,-99.35927063,19.16524522
15044,1,-99.08893023,19.73871675
15045,4,-99.5965693,20.01910289
15048,1,-99.82360682,19.71719207
15051,5,-99.47486234,19.34508348
15053,2,-99.13354781,19.70965059
15054,2,-99.58826349,19.24739155
15055,1,-99.58313028,19.21108655
15057,12,-99.29260539,19.47125315
15058,23,-99.02269952,19.42257866
15059,2,-99.07452371,19.72993819
15060,8,-99.39174976,19.62497302
15062,3,-99.40628254,19.25951521
15063,2,-99.39641629,19.0092341
15065,2,-98.73839259,19.6560195
15067,4,-99.52993801,19.45024138
15068,1,-98.80968433,19.02175613
15070,4,-98.94669088,19.36107302
15075,1,-98.83219488,19.71977108
15076,2,-99.54225234,19.26895424
15081,8,-98.98650793,19.7058364
15084,1,-98.88106872,19.81912074
15087,1,-99.6023182,19.48573043
15088,2,-99.56922026,18.96701985
15090,2,-99.63028618,19.0813502
15091,2,-99.16818479,19.7622074
15092,1,-98.87066921,19.68631789
15093,1,-98.76570055,19.56941442
15095,4,-99.30619368,19.72521313
15099,4,-98.82769174,19.47167655
15100,1,-98.93141082,19.59691617
15101,1,-99.43216378,19.16230019
15102,1,-99.71804159,19.89634578
15103,2,-98.73196968,19.20890233
15104,8,-99.17014636,19.54274532
15106,15,-99.66699652,19.29626331
15108,4,-99.11964884,19.67930656
15109,6,-99.14528842,19.62620951
15110,2,-100.12195026,19.17776775
15111,2,-100.13756378,19.38724301
15112,2,-99.47839368,19.72106219
15114,2,-99.99213425,19.44275026
15115,2,-99.46759868,19.43695108
15118,6,-99.7978222,19.21501978
15120,14,-99.07182055,19.80910677
15121,16,-99.22522664,19.65453652
15122,9,-98.94831698,19.2764065
15124,1,-100.14560824,19.61712872
15125,3,-99.05835864,19.68182481
16001,3,-101.34000233,19.46583081
16006,8,-102.4233222,18.93817311
16012,1,-102.58386821,19.20387568
16020,1,-101.11182379,19.98059264
16023,1,-102.44670645,20.04402637
16024,1,-101.98973888,19.73461884
16025,1,-102.10116757,19.81335263
16032,1,-101.72521379,19.61978801
16034,4,-100.67789721,19.61260339
16039,1,-101.4570616,19.52154211
16040,1,-100.94215806,19.76602206
16043,1,-102.31600195,19.93494144
16045,1,-102.75340908,19.9774978
16049,1,-101.17021819,19.34246827
16050,1,-100.4289524,19.88943861
16052,3,-102.37511298,18.08853957
16053,25,-101.27910664,19.66659348
16057,1,-101.21593291,19.09348841
16060,1,-101.95975336,20.25067632
16062,1,-102.52573732,20.14515743
16064,1,-102.212291,19.0620596
16065,1,-102.07105199,19.65412656
16068,1,-102.45260979,19.49528911
16082,1,-101.45201592,19.25483538
16088,4,-101.15750378,19.81648565
16093,1,-100.20658258,19.77988676
16095,1,-102.5936982,19.64639736
16102,10,-102.10564506,19.44363709
16103,1,-102.66620015,20.14306192
16104,1,-102.58640105,19.99376164
16106,1,-102.21951392,20.2992678
16108,5,-102.26407038,20.03298177
16110,1,-100.76928599,19.87071447
16111,1,-101.90904431,19.42852654
